대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
유럽주,우크라이나,여성,3736,21,28,73,292,750,716,512,401,262,210,170,104,95,63,28,8,3
유럽주,그리스,남성,5242,17,13,26,99,296,587,827,729,741,644,398,326,291,140,66,34,8
유럽주,그리스,여성,2765,21,20,45,71,260,485,516,328,228,208,156,141,128,105,35,13,5
유럽주,헝가리,남성,3530,24,30,58,128,275,406,540,454,387,405,293,196,120,117,65,26,6
유럽주,헝가리,여성,3981,28,28,80,202,593,713,606,358,239,335,299,187,127,100,59,22,5
유럽주,영국보호민,남성,3068,0,1,2,0,2,396,874,549,446,284,174,129,110,56,29,12,4
유럽주,영국보호민,여성,4076,1,0,0,4,3,657,1239,745,480,298,248,174,123,64,18,21,1
유럽주,불가리아,남성,2454,7,25,31,80,175,245,283,299,285,284,244,197,134,82,64,19,0
유럽주,불가리아,여성,2255,8,16,64,121,252,283,226,185,220,183,171,151,159,120,77,13,6
유럽주,리투아니아,남성,2042,12,19,23,59,203,328,351,288,212,182,138,102,77,34,13,1,0
유럽주,리투아니아,여성,2426,9,14,41,108,333,413,452,262,210,184,134,103,88,48,21,4,2
유럽주,슬로바크,남성,2514,15,16,39,109,167,332,417,438,331,263,166,96,69,37,9,5,5
유럽주,슬로바크,여성,1922,16,32,64,121,265,338,301,174,200,155,106,54,52,33,9,2,0
유럽주,크로아티아,남성,2282,13,5,12,70,70,294,299,301,303,308,263,161,111,48,15,3,6
유럽주,크로아티아,여성,1212,5,13,28,63,126,216,199,130,118,107,83,52,32,21,11,5,3
유럽주,라트비아,남성,1223,4,4,22,46,91,144,222,185,166,129,105,47,30,17,6,4,1
유럽주,라트비아,여성,1229,3,18,28,110,178,203,168,126,96,96,68,54,39,30,4,7,1
유럽주,세르비아,남성,1263,6,9,20,55,79,163,221,183,172,142,90,45,47,16,11,4,0
유럽주,세르비아,여성,1122,6,10,28,39,88,196,211,142,115,93,85,36,29,26,13,5,0
유럽주,에스토니아,남성,993,5,12,21,37,66,109,153,161,114,105,74,68,35,15,11,5,2
유럽주,에스토니아,여성,1236,10,8,24,73,203,239,174,113,90,104,70,51,40,20,10,6,1
유럽주,슬로베니아,남성,1090,12,16,25,33,84,155,169,134,112,118,94,61,42,17,12,6,0
유럽주,슬로베니아,여성,967,9,10,26,59,161,198,113,96,85,62,41,53,21,19,10,4,0
유럽주,벨라루스,남성,640,3,8,13,31,38,72,93,109,87,69,41,26,18,19,5,8,0
유럽주,벨라루스,여성,1173,1,2,22,123,226,247,164,106,84,63,59,24,27,16,8,0,1
유럽주,아제르바이잔,남성,999,6,12,15,141,155,123,187,148,93,63,19,15,14,7,0,1,0
유럽주,아제르바이잔,여성,813,22,17,24,81,154,119,156,87,39,35,32,21,10,7,5,4,0
유럽주,룩셈부르크,남성,779,13,7,30,36,78,120,114,71,67,50,48,64,42,18,16,2,3
유럽주,룩셈부르크,여성,710,2,20,28,41,120,139,107,53,43,35,37,32,21,17,10,3,2
유럽주,조지아,남성,781,2,2,5,16,80,119,144,126,109,88,42,23,13,9,2,0,1
유럽주,조지아,여성,559,0,3,7,35,61,122,98,78,47,42,33,20,3,7,3,0,0
유럽주,몰타,남성,398,3,6,7,9,18,37,60,37,39,46,31,40,24,25,8,6,2
유럽주,몰타,여성,408,3,2,11,18,24,39,50,31,32,15,39,45,39,38,15,7,0
유럽주,알바니아,남성,427,3,1,2,7,48,86,91,72,35,32,23,13,9,4,1,0,0
유럽주,알바니아,여성,309,3,0,2,5,50,79,67,37,22,23,6,8,3,4,0,0,0
유럽주,아이슬란드,남성,363,6,4,9,14,52,33,43,22,25,44,35,30,23,16,6,1,0
